epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,12791.9,1.79924,2.12229,1.54133,0.82496,0.2433,0.32175,0.13992,0.22472,1.15482,0.22871,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12937.8,1.74356,2.09052,1.53624,0.81296,0.24289,0.31866,0.13957,0.22469,1.39231,0.2288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13083.5,1.75096,2.18535,1.53489,0.80856,0.24194,0.31886,0.13806,0.22478,1.35656,0.22867,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13226,1.45925,1.7456,1.41531,0.81217,0.24395,0.31608,0.13698,0.22374,1.07722,0.2289,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13366.8,1.41542,1.62367,1.38742,0.80994,0.2433,0.31448,0.13734,0.22496,1.08401,0.2306,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13508.7,1.39423,1.63423,1.35445,0.81193,0.25403,0.31104,0.13592,0.22471,0.98943,0.22928,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13651.3,1.44072,1.66407,1.41446,0.81706,0.2621,0.3182,0.13824,0.22182,1.01002,0.22756,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13793.4,1.44913,1.61079,1.39407,0.82036,0.25605,0.31986,0.13983,0.2206,0.94998,0.22646,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13936.3,1.43806,1.64505,1.39224,0.82242,0.25624,0.32018,0.13985,0.22228,0.87922,0.22726,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14079.1,1.42741,1.6242,1.36554,0.81833,0.25202,0.3225,0.14085,0.22164,0.97869,0.2267,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14221.2,1.35874,1.54451,1.32682,0.81412,0.25894,0.32838,0.14217,0.22151,0.93579,0.22687,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14363.3,1.39124,1.55483,1.36042,0.82371,0.25605,0.32815,0.14228,0.22199,0.89507,0.22751,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14505.1,1.41066,1.58442,1.37751,0.83221,0.25605,0.3304,0.14373,0.22235,0.91107,0.22799,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
